# host  
2
# time  upstreamTraffic  downstreamTraffic 
225298.0  0.0  0.0
225300.0  0.0  0.0
225302.0  0.0  0.0
225304.0  0.0  0.0
225306.0  0.0  0.0
225308.0  0.0  0.0
225310.0  0.0  0.0
225312.0  0.0  0.0
225314.0  0.0  0.0
225316.0  0.0  0.0
225318.0  0.0  0.0
225320.0  0.0  0.0
225322.0  0.0  0.0
225324.0  0.0  0.0
225326.0  0.0  0.0
225328.0  0.0  0.0
225330.0  0.0  0.0
225332.0  0.0  0.0
225334.0  0.0  0.0
225336.0  0.0  0.0
225338.0  0.0  0.0
225340.0  0.0  0.0
225342.0  0.0  0.0
225344.0  0.0  0.0
225346.0  0.0  0.0
225348.0  0.0  0.0
225350.0  0.0  0.0
225352.0  0.0  0.0
225354.0  0.0  0.0
225356.0  0.0  0.0
225358.0  0.0  0.0
225360.0  0.0  0.0
225362.0  0.0  0.0
225364.0  0.0  0.0
225366.0  0.0  0.0
225368.0  0.0  0.0
225370.0  0.0  0.0
225372.0  0.0  0.0
225374.0  0.0  0.0
225376.0  0.0  0.0
225378.0  0.0  0.0
225380.0  0.0  0.0
225382.0  0.0  0.0
225384.0  0.0  0.0
225386.0  0.0  0.0
225388.0  0.0  0.0
225390.0  0.0  0.0
225392.0  0.0  0.0
225394.0  0.0  0.0
225396.0  0.0  0.0
225398.0  0.0  0.0
225400.0  0.0  0.0
225402.0  0.0  0.0
225404.0  0.0  0.0
225406.0  0.0  0.0
225408.0  0.0  0.0
225410.0  0.0  0.0
225412.0  3392215.0  3392215.0
225414.0  15733.0  15733.0
225416.0  82234.0  82234.0
225418.0  9197.0  9197.0
225420.0  2802.0  2802.0
225422.0  0.0  0.0
225424.0  0.0  0.0
225426.0  0.0  0.0
225428.0  0.0  0.0
225430.0  0.0  0.0
225432.0  0.0  0.0
225434.0  0.0  0.0
225436.0  19652.0  19652.0
225438.0  220.0  220.0
225440.0  17099.0  17099.0
225442.0  906.0  906.0
225444.0  8842495.0  8842495.0
225446.0  20309.0  20309.0
225448.0  0.0  0.0
225450.0  0.0  0.0
225452.0  0.0  0.0
225454.0  0.0  0.0
225456.0  0.0  0.0
225458.0  0.0  0.0
225460.0  0.0  0.0
225462.0  0.0  0.0
225464.0  0.0  0.0
225466.0  0.0  0.0
225468.0  0.0  0.0
225470.0  0.0  0.0
225472.0  0.0  0.0
225474.0  0.0  0.0
225476.0  0.0  0.0
225478.0  0.0  0.0
225480.0  0.0  0.0
225482.0  0.0  0.0
225484.0  0.0  0.0
225486.0  0.0  0.0
225488.0  0.0  0.0
225490.0  0.0  0.0
225492.0  0.0  0.0
225494.0  0.0  0.0
225496.0  0.0  0.0
225498.0  0.0  0.0
225500.0  0.0  0.0
225502.0  0.0  0.0
225504.0  0.0  0.0
225506.0  0.0  0.0
225508.0  0.0  0.0
225510.0  0.0  0.0
225512.0  0.0  0.0
225514.0  0.0  0.0
225516.0  0.0  0.0
225518.0  0.0  0.0
225520.0  0.0  0.0
225522.0  0.0  0.0
225524.0  906.0  906.0
225526.0  1502693.0  1502693.0
225528.0  33567.0  33567.0
225530.0  0.0  0.0
225532.0  99.0  99.0
225534.0  0.0  0.0
225536.0  28189.0  28189.0
225538.0  0.0  0.0
225540.0  807.0  807.0
225542.0  24529.0  24529.0
225544.0  0.0  0.0
225546.0  0.0  0.0
225548.0  0.0  0.0
225550.0  0.0  0.0
225552.0  1807.0  1807.0
225554.0  99.0  99.0
225556.0  807.0  28897.0
225558.0  99.0  35992.0
225560.0  121.0  1049.0
225562.0  0.0  807.0
225564.0  0.0  99.0
225566.0  3753.0  3753.0
225568.0  906.0  906.0
225570.0  807.0  807.0
225572.0  0.0  0.0
225574.0  0.0  0.0
225576.0  807.0  807.0
225578.0  0.0  0.0
225580.0  0.0  0.0
225582.0  0.0  0.0
225584.0  0.0  0.0
225586.0  0.0  0.0
225588.0  27315.0  27315.0
225590.0  0.0  0.0
225592.0  0.0  27315.0
225594.0  0.0  906.0
225596.0  0.0  807.0
225598.0  0.0  4560.0
225600.0  0.0  99.0
225602.0  0.0  121.0
225604.0  99.0  28189.0
225606.0  0.0  906.0
225608.0  0.0  8336.0
225610.0  0.0  1484614.0
225612.0  0.0  0.0
225614.0  0.0  0.0
225616.0  0.0  0.0
225618.0  0.0  0.0
225620.0  0.0  0.0
225622.0  0.0  0.0
225624.0  0.0  0.0
225626.0  807.0  807.0
225628.0  0.0  0.0
225630.0  0.0  0.0
225632.0  0.0  0.0
225634.0  0.0  0.0
225636.0  0.0  0.0
225638.0  0.0  0.0
225640.0  0.0  0.0
225642.0  0.0  0.0
225644.0  0.0  0.0
225646.0  0.0  0.0
225648.0  0.0  0.0
225650.0  0.0  0.0
225652.0  0.0  0.0
225654.0  0.0  0.0
225656.0  99.0  99.0
225658.0  0.0  807.0
225660.0  0.0  0.0
225662.0  0.0  0.0
225664.0  0.0  0.0
225666.0  0.0  0.0
225668.0  0.0  0.0
225670.0  0.0  0.0
225672.0  0.0  0.0
225674.0  0.0  0.0
225676.0  99.0  99.0
225678.0  17807.0  17807.0
225680.0  198.0  198.0
225682.0  1485322.0  1485322.0
225684.0  8336.0  8336.0
225686.0  0.0  0.0
225688.0  0.0  0.0
225690.0  0.0  0.0
225692.0  0.0  0.0
225694.0  0.0  0.0
225696.0  0.0  0.0
225698.0  0.0  121.0
225700.0  99.0  99.0
225702.0  0.0  0.0
225704.0  0.0  32430.0
225706.0  104181.0  104181.0
225708.0  0.0  0.0
225710.0  0.0  0.0
225712.0  71872.0  71872.0
225714.0  38769.0  38769.0
225716.0  11912.0  11912.0
225718.0  0.0  0.0
225720.0  0.0  0.0
225722.0  0.0  0.0
225724.0  0.0  0.0
225726.0  0.0  0.0
225728.0  0.0  0.0
225730.0  0.0  0.0
225732.0  0.0  0.0
225734.0  0.0  0.0
225736.0  0.0  0.0
225738.0  0.0  0.0
225740.0  0.0  0.0
225742.0  0.0  0.0
225744.0  0.0  0.0
225746.0  11570.0  11570.0
225748.0  17807.0  17807.0
225750.0  121594.0  121594.0
225752.0  12774.0  12774.0
225754.0  1027.0  1027.0
225756.0  63797.0  63797.0
225758.0  72090.0  72090.0
225760.0  11577.0  11577.0
225762.0  38967.0  38967.0
225764.0  27535.0  27535.0
225766.0  122.0  122.0
225768.0  0.0  0.0
225770.0  0.0  0.0
225772.0  0.0  0.0
225774.0  0.0  0.0
225776.0  12993.0  12993.0
225778.0  0.0  0.0
225780.0  0.0  0.0
225782.0  0.0  0.0
225784.0  0.0  13048.0
225786.0  1614.0  1614.0
225788.0  99.0  99.0
225790.0  0.0  0.0
225792.0  0.0  0.0
225794.0  0.0  0.0
225796.0  0.0  0.0
225798.0  0.0  0.0
225800.0  0.0  0.0
225802.0  0.0  0.0
225804.0  0.0  0.0
225806.0  0.0  0.0
225808.0  0.0  0.0
225810.0  0.0  0.0
225812.0  0.0  0.0
225814.0  0.0  0.0
225816.0  0.0  0.0
225818.0  0.0  0.0
225820.0  0.0  0.0
225822.0  0.0  0.0
225824.0  0.0  0.0
225826.0  0.0  0.0
225828.0  0.0  807.0
225830.0  0.0  0.0
225832.0  0.0  0.0
225834.0  0.0  0.0
225836.0  33349.0  33349.0
225838.0  0.0  0.0
225840.0  0.0  0.0
225842.0  0.0  0.0
225844.0  0.0  0.0
225846.0  0.0  0.0
225848.0  0.0  0.0
225850.0  0.0  0.0
225852.0  0.0  0.0
225854.0  0.0  0.0
225856.0  0.0  0.0
225858.0  0.0  0.0
225860.0  0.0  0.0
225862.0  0.0  0.0
225864.0  0.0  0.0
225866.0  0.0  0.0
225868.0  0.0  0.0
225870.0  0.0  0.0
225872.0  0.0  0.0
225874.0  0.0  0.0
225876.0  0.0  0.0
225878.0  0.0  0.0
225880.0  0.0  2253078.0
225882.0  0.0  0.0
225884.0  0.0  0.0
225886.0  0.0  0.0
225888.0  0.0  0.0
225890.0  0.0  0.0
225892.0  0.0  0.0
225894.0  0.0  0.0
225896.0  807.0  807.0
225898.0  0.0  0.0
225900.0  0.0  0.0
225902.0  0.0  0.0
225904.0  0.0  0.0
225906.0  0.0  0.0
225908.0  0.0  0.0
225910.0  0.0  0.0
225912.0  0.0  0.0
225914.0  0.0  0.0
225916.0  0.0  0.0
225918.0  0.0  0.0
225920.0  0.0  0.0
225922.0  0.0  0.0
225924.0  0.0  0.0
225926.0  0.0  0.0
225928.0  0.0  0.0
225930.0  0.0  0.0
225932.0  0.0  0.0
225934.0  0.0  0.0
225936.0  0.0  0.0
225938.0  0.0  0.0
225940.0  0.0  0.0
225942.0  0.0  0.0
225944.0  0.0  0.0
225946.0  0.0  0.0
225948.0  0.0  0.0
225950.0  0.0  0.0
225952.0  0.0  0.0
225954.0  0.0  0.0
225956.0  276.0  276.0
225958.0  0.0  0.0
225960.0  1781.0  1781.0
225962.0  1614.0  1614.0
225964.0  220.0  220.0
225966.0  58752.0  58752.0
225968.0  36380.0  36380.0
225970.0  2253885.0  2253885.0
225972.0  276.0  276.0
225974.0  0.0  0.0
225976.0  0.0  0.0
225978.0  0.0  0.0
225980.0  0.0  0.0
225982.0  0.0  0.0
225984.0  0.0  0.0
225986.0  0.0  0.0
225988.0  0.0  0.0
225990.0  0.0  0.0
225992.0  0.0  0.0
225994.0  0.0  0.0
225996.0  0.0  0.0
225998.0  0.0  0.0
226000.0  0.0  0.0
226002.0  0.0  0.0
226004.0  0.0  0.0
226006.0  0.0  0.0
226008.0  0.0  0.0
226010.0  0.0  0.0
226012.0  0.0  0.0
226014.0  0.0  0.0
226016.0  0.0  0.0
226018.0  0.0  0.0
226020.0  0.0  0.0
226022.0  0.0  0.0
226024.0  0.0  0.0
226026.0  0.0  0.0
226028.0  0.0  0.0
226030.0  0.0  0.0
226032.0  0.0  0.0
226034.0  0.0  0.0
226036.0  0.0  0.0
226038.0  0.0  0.0
226040.0  0.0  0.0
226042.0  0.0  0.0
226044.0  0.0  0.0
226046.0  0.0  0.0
226048.0  0.0  0.0
226050.0  0.0  0.0
226052.0  0.0  0.0
226054.0  0.0  0.0
226056.0  0.0  0.0
226058.0  0.0  0.0
226060.0  0.0  0.0
226062.0  0.0  0.0
226064.0  0.0  0.0
226066.0  0.0  0.0
226068.0  0.0  0.0
226070.0  0.0  0.0
226072.0  0.0  0.0
226074.0  0.0  0.0
226076.0  0.0  0.0
226078.0  0.0  0.0
226080.0  0.0  0.0
226082.0  0.0  0.0
226084.0  0.0  0.0
226086.0  0.0  0.0
226088.0  0.0  0.0
226090.0  0.0  0.0
226092.0  0.0  0.0
226094.0  0.0  0.0
226096.0  0.0  0.0
226098.0  0.0  0.0
226100.0  0.0  0.0
226102.0  0.0  0.0
226104.0  0.0  0.0
226106.0  0.0  0.0
226108.0  0.0  0.0
226110.0  0.0  0.0
226112.0  0.0  0.0
226114.0  0.0  0.0
226116.0  0.0  0.0
226118.0  0.0  0.0
226120.0  0.0  0.0
226122.0  0.0  0.0
226124.0  0.0  0.0
226126.0  0.0  0.0
226128.0  0.0  0.0
226130.0  0.0  0.0
226132.0  0.0  0.0
226134.0  0.0  0.0
226136.0  0.0  0.0
226138.0  0.0  0.0
226140.0  0.0  0.0
226142.0  0.0  0.0
226144.0  0.0  0.0
226146.0  0.0  0.0
226148.0  0.0  0.0
226150.0  0.0  0.0
226152.0  0.0  0.0
226154.0  0.0  0.0
226156.0  0.0  0.0
226158.0  0.0  0.0
226160.0  0.0  0.0
226162.0  0.0  0.0
226164.0  13672.0  13672.0
226166.0  44228.0  44228.0
226168.0  0.0  0.0
226170.0  0.0  0.0
226172.0  0.0  0.0
226174.0  3287.0  3287.0
226176.0  3767.0  3767.0
226178.0  10358.0  10358.0
226180.0  16102.0  16102.0
226182.0  0.0  0.0
226184.0  0.0  0.0
226186.0  0.0  0.0
226188.0  0.0  0.0
226190.0  0.0  0.0
226192.0  0.0  0.0
226194.0  0.0  0.0
226196.0  0.0  0.0
226198.0  0.0  0.0
226200.0  0.0  0.0
226202.0  0.0  0.0
226204.0  0.0  0.0
226206.0  0.0  0.0
226208.0  0.0  0.0
226210.0  0.0  0.0
226212.0  9000.0  9000.0
226214.0  150016.0  150016.0
226216.0  69133.0  69133.0
226218.0  12227.0  12227.0
226220.0  8485.0  8485.0
226222.0  26585.0  26585.0
226224.0  0.0  0.0
226226.0  0.0  0.0
226228.0  0.0  0.0
226230.0  0.0  0.0
226232.0  0.0  0.0
226234.0  0.0  0.0
226236.0  0.0  0.0
226238.0  0.0  0.0
226240.0  0.0  0.0
226242.0  0.0  0.0
226244.0  0.0  0.0
226246.0  0.0  0.0
226248.0  0.0  0.0
226250.0  0.0  0.0
226252.0  0.0  0.0
226254.0  0.0  0.0
226256.0  0.0  0.0
226258.0  3287.0  3287.0
226260.0  3287.0  3287.0
226262.0  121.0  121.0
226264.0  0.0  0.0
226266.0  0.0  0.0
226268.0  0.0  0.0
226270.0  0.0  0.0
226272.0  0.0  0.0
226274.0  0.0  0.0
226276.0  0.0  0.0
226278.0  121.0  121.0
226280.0  0.0  0.0
226282.0  99.0  99.0
226284.0  0.0  0.0
226286.0  3408.0  3408.0
226288.0  0.0  0.0
226290.0  81093.0  81093.0
226292.0  0.0  0.0
226294.0  0.0  0.0
226296.0  0.0  0.0
226298.0  57259.0  57259.0
226300.0  33549.0  33549.0
226302.0  13099.0  13099.0
226304.0  807.0  807.0
226306.0  2328.0  2449.0
226308.0  9551.0  9551.0
226310.0  0.0  0.0
226312.0  169.0  169.0
226314.0  169.0  169.0
226316.0  121.0  121.0
226318.0  0.0  0.0
226320.0  0.0  0.0
226322.0  69034.0  69034.0
226324.0  0.0  0.0
226326.0  0.0  0.0
226328.0  0.0  0.0
226330.0  0.0  0.0
226332.0  0.0  0.0
226334.0  0.0  0.0
226336.0  0.0  0.0
226338.0  0.0  0.0
226340.0  0.0  0.0
226342.0  0.0  0.0
226344.0  0.0  0.0
226346.0  0.0  0.0
226348.0  121.0  63050.0
226350.0  62163.0  62163.0
226352.0  0.0  0.0
226354.0  0.0  0.0
226356.0  0.0  0.0
226358.0  28645.0  28645.0
226360.0  0.0  4904.0
226362.0  0.0  57380.0
226364.0  0.0  268.0
226366.0  807.0  1400.0
226368.0  0.0  0.0
226370.0  0.0  906.0
226372.0  11665.0  11907.0
226374.0  0.0  0.0
226376.0  0.0  0.0
226378.0  0.0  0.0
226380.0  0.0  0.0
226382.0  0.0  0.0
226384.0  0.0  0.0
226386.0  0.0  0.0
226388.0  121.0  9353.0
226390.0  0.0  99.0
226392.0  0.0  0.0
226394.0  26585.0  26585.0
226396.0  3974.0  3974.0
226398.0  0.0  0.0
226400.0  0.0  0.0
226402.0  85907.0  85907.0
226404.0  11949.0  11949.0
226406.0  0.0  0.0
226408.0  0.0  0.0
226410.0  0.0  0.0
226412.0  13653.0  14460.0
226414.0  113380.0  113380.0
226416.0  807.0  807.0
226418.0  0.0  126226.0
226420.0  0.0  807.0
226422.0  0.0  0.0
226424.0  0.0  0.0
226426.0  78045.0  78045.0
226428.0  8430457.0  8430457.0
226430.0  13852.0  13852.0
226432.0  0.0  0.0
226434.0  0.0  13852.0
226436.0  99.0  99.0
226438.0  0.0  0.0
226440.0  0.0  0.0
226442.0  0.0  0.0
226444.0  0.0  0.0
226446.0  0.0  0.0
226448.0  0.0  0.0
226450.0  0.0  0.0
226452.0  0.0  0.0
226454.0  0.0  0.0
226456.0  77160.0  77160.0
226458.0  0.0  0.0
226460.0  0.0  0.0
226462.0  0.0  0.0
226464.0  99.0  99.0
226466.0  71982.0  71982.0
226468.0  0.0  0.0
226470.0  0.0  0.0
226472.0  0.0  0.0
226474.0  26898.0  26898.0
226476.0  0.0  0.0
226478.0  0.0  0.0
226480.0  0.0  0.0
226482.0  0.0  0.0
226484.0  0.0  77160.0
226486.0  58066.0  58066.0
226488.0  13822.0  13822.0
226490.0  13973.0  13973.0
226492.0  1005.0  1005.0
226494.0  58318.0  58318.0
226496.0  112694.0  112694.0
226498.0  13446.0  13446.0
226500.0  29238.0  29238.0
226502.0  8429749.0  8429749.0
226504.0  31639.0  31639.0
226506.0  30654.0  30654.0
226508.0  77160.0  77160.0
226510.0  0.0  0.0
226512.0  0.0  0.0
226514.0  0.0  0.0
226516.0  0.0  0.0
226518.0  0.0  0.0
226520.0  0.0  0.0
226522.0  0.0  16720.0
226524.0  0.0  12546.0
226526.0  0.0  0.0
226528.0  0.0  211.0
226530.0  0.0  0.0
226532.0  0.0  0.0
226534.0  0.0  0.0
226536.0  0.0  0.0
226538.0  0.0  0.0
226540.0  0.0  0.0
226542.0  0.0  0.0
226544.0  0.0  0.0
226546.0  0.0  0.0
226548.0  0.0  0.0
226550.0  0.0  0.0
226552.0  0.0  0.0
226554.0  0.0  0.0
226556.0  99.0  99.0
226558.0  0.0  0.0
226560.0  0.0  0.0
226562.0  0.0  0.0
226564.0  0.0  0.0
226566.0  0.0  0.0
226568.0  0.0  0.0
226570.0  0.0  0.0
226572.0  0.0  12639.0
226574.0  0.0  0.0
226576.0  0.0  0.0
226578.0  0.0  0.0
226580.0  0.0  0.0
226582.0  0.0  0.0
226584.0  0.0  9666.0
226586.0  0.0  0.0
226588.0  13752.0  13752.0
226590.0  65774.0  65774.0
226592.0  906.0  906.0
226594.0  56878.0  56878.0
226596.0  0.0  0.0
226598.0  0.0  0.0
226600.0  0.0  0.0
226602.0  0.0  0.0
226604.0  0.0  13852.0
226606.0  807.0  807.0
226608.0  0.0  0.0
226610.0  0.0  0.0
226612.0  0.0  38380.0
226614.0  0.0  2786.0
226616.0  0.0  0.0
226618.0  0.0  0.0
226620.0  0.0  0.0
226622.0  0.0  0.0
226624.0  0.0  0.0
226626.0  0.0  0.0
226628.0  0.0  0.0
226630.0  0.0  0.0
226632.0  0.0  0.0
226634.0  0.0  0.0
226636.0  0.0  0.0
226638.0  0.0  0.0
226640.0  0.0  0.0
226642.0  0.0  0.0
226644.0  0.0  0.0
226646.0  112573.0  112573.0
226648.0  0.0  0.0
226650.0  0.0  0.0
226652.0  0.0  0.0
226654.0  0.0  0.0
226656.0  0.0  0.0
226658.0  0.0  0.0
226660.0  0.0  0.0
226662.0  0.0  0.0
226664.0  0.0  0.0
226666.0  0.0  121.0
226668.0  0.0  7.2745604E7
226670.0  0.0  0.0
226672.0  0.0  0.0
226674.0  0.0  0.0
226676.0  0.0  0.0
226678.0  0.0  0.0
226680.0  0.0  0.0
226682.0  0.0  0.0
226684.0  0.0  0.0
226686.0  0.0  0.0
226688.0  0.0  0.0
226690.0  0.0  0.0
226692.0  0.0  0.0
226694.0  0.0  0.0
226696.0  0.0  0.0
226698.0  0.0  0.0
226700.0  0.0  0.0
226702.0  0.0  0.0
226704.0  0.0  0.0
226706.0  807.0  807.0
226708.0  9451.0  9451.0
226710.0  0.0  0.0
226712.0  0.0  0.0
226714.0  0.0  0.0
226716.0  0.0  0.0
226718.0  0.0  0.0
226720.0  0.0  0.0
226722.0  0.0  0.0
226724.0  0.0  0.0
226726.0  0.0  0.0
226728.0  0.0  0.0
226730.0  0.0  0.0
226732.0  0.0  0.0
226734.0  0.0  0.0
226736.0  0.0  0.0
226738.0  0.0  0.0
226740.0  0.0  0.0
226742.0  0.0  0.0
226744.0  0.0  0.0
226746.0  0.0  0.0
226748.0  0.0  0.0
226750.0  0.0  0.0
226752.0  0.0  0.0
226754.0  0.0  0.0
226756.0  0.0  0.0
226758.0  0.0  0.0
226760.0  0.0  0.0
226762.0  0.0  0.0
226764.0  0.0  0.0
226766.0  0.0  0.0
226768.0  0.0  0.0
226770.0  0.0  0.0
226772.0  0.0  0.0
226774.0  0.0  0.0
226776.0  0.0  0.0
226778.0  0.0  0.0
226780.0  0.0  0.0
226782.0  0.0  0.0
226784.0  0.0  0.0
226786.0  0.0  0.0
226788.0  0.0  0.0
226790.0  0.0  0.0
226792.0  0.0  0.0
226794.0  0.0  0.0
226796.0  0.0  0.0
226798.0  0.0  0.0
226800.0  0.0  0.0
226802.0  0.0  0.0
226804.0  0.0  0.0
226806.0  0.0  0.0
226808.0  0.0  0.0
226810.0  0.0  0.0
226812.0  0.0  0.0
226814.0  0.0  0.0
226816.0  0.0  0.0
226818.0  0.0  0.0
226820.0  0.0  0.0
226822.0  0.0  0.0
226824.0  0.0  0.0
226826.0  0.0  0.0
226828.0  0.0  0.0
226830.0  0.0  0.0
226832.0  0.0  0.0
226834.0  0.0  0.0
226836.0  0.0  0.0
226838.0  0.0  0.0
226840.0  0.0  0.0
226842.0  0.0  0.0
226844.0  0.0  0.0
226846.0  0.0  0.0
226848.0  0.0  0.0
