# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2743.0000 I4 638104 1 1987.0000 c47 null 266 N c47->c77
2744.0000 I4 638104 5 1988.0000 c47 null 266 N c47->c51->p0->p16->c42->c49
2745.0000 I5 566179 6 1767.0000 w101 null 270 N w101->w85->p24->p13->c40->w114->p14
2746.0000 I1 593012 4 2661.0000 p10 null 255 N p10->p11->p3->c57->w109
2746.0000 I2 638690 5 2398.0000 p23 null 260 N p23->p18->p22->c57->c65->c53
2747.0000 I4 638104 4 1991.0000 c47 null 266 N c47->c51->p0->t123->p37
2747.0000 I5 566179 5 1769.0000 w101 null 270 N w101->w85->c53->w80->c42->c49
2749.0000 I2 638690 5 2401.0000 p23 null 259 N p23->p18->t121->w103->c78->p26
2750.0000 I1 593012 7 2665.0000 p10 null 255 N p10->p34->w110->w113->p31->w115->p32->p19
2751.0000 I5 566179 4 1773.0000 w101 null 270 N w101->w85->p24->w89->w111
2751.0000 I1 593012 6 2666.0000 p10 null 255 N p10->p34->w97->w115->p33->c73->p3
2752.0000 I5 566179 5 1774.0000 w101 null 270 N w101->w85->p24->p23->c78->p26
2752.0000 I4 638104 6 1996.0000 c47 null 266 N c47->c51->p0->p16->w103->w112->w102
2752.0000 I4 638104 5 1996.0000 c47 null 266 N c47->c51->p0->w119->c65->c53
2753.0000 I4 638104 1 1997.0000 c47 null 266 N c47->c61
2754.0000 I4 638104 5 1998.0000 c47 null 266 N c47->c51->p0->p16->p21->w113
2754.0000 I5 566179 4 1776.0000 w101 null 270 N w101->p31->p26->w108->w83
2755.0000 I5 566179 5 1777.0000 w101 null 270 N w101->c60->p12->t124->w112->w102
2755.0000 I5 566179 9 1777.0000 w101 null 270 N w101->c60->p12->t124->w107->w100->c54->p22->c65->c53
2757.0000 I5 566179 8 1779.0000 w101 null 270 N w101->w85->p24->p13->p20->w115->t121->w118->w80
2757.0000 I5 566179 6 1779.0000 w101 null 270 N w101->c60->p12->t124->w107->w100->p37
2758.0000 I2 638690 6 2410.0000 p23 null 259 N p23->p18->p22->c43->w108->t122->w102
2758.0000 I1 593012 4 2673.0000 p10 null 255 N p10->w89->c71->p25->c44
2759.0000 I2 638690 6 2411.0000 p23 null 259 N p23->p18->p3->w117->w91->c47->c61
2759.0000 I2 638690 5 2411.0000 p23 null 259 N p23->p18->p22->c57->c65->c69
2760.0000 I1 593012 7 2675.0000 p10 null 255 N p10->p25->p21->w98->c73->p22->w92->c52
2761.0000 I4 638104 4 2005.0000 c47 null 266 N c47->c51->p0->t123->p23
2762.0000 I4 638104 5 2006.0000 c47 null 266 N c47->c51->p0->w119->c65->c69
2763.0000 I2 638690 6 2415.0000 p23 null 259 N p23->p18->w97->p39->p20->w99->w112
2764.0000 I2 638690 4 2416.0000 p23 null 259 N p23->p18->p0->p33->p37
2766.0000 I5 566179 5 1788.0000 w101 null 270 N w101->p31->c75->p36->p3->c60
2767.0000 I2 638690 5 2419.0000 p23 null 259 N p23->p18->p3->w117->w91->p32
2768.0000 I5 566179 6 1790.0000 w101 null 270 N w101->c60->p12->t124->w107->c48->c52
2769.0000 I1 593012 7 2684.0000 p10 null 255 N p10->p34->w110->w113->p31->w115->w106->c47
2771.0000 I4 638104 7 2015.0000 c47 null 266 N c47->c51->c68->w97->c58->p26->p33->w109
2771.0000 I4 638104 5 2015.0000 c47 null 266 N c47->c51->p0->p29->p3->w93
2771.0000 I2 638690 5 2423.0000 p23 null 259 N p23->p18->t121->w103->c71->w81
2771.0000 I2 638690 6 2423.0000 p23 null 259 N p23->p18->t121->w103->c50->w87->w96
2772.0000 I5 566179 5 1794.0000 w101 null 270 N w101->w85->p24->p27->c47->w106
2774.0000 I2 638690 4 2426.0000 p23 null 259 N p23->p18->p0->p33->w109
2774.0000 I4 638104 5 2018.0000 c47 null 266 N c47->c51->p0->t123->w87->w96
2774.0000 I5 566179 5 1796.0000 w101 null 270 N w101->p31->c75->p36->p3->w93
2775.0000 I2 638690 6 2427.0000 p23 null 259 N p23->p18->p22->c43->w108->t122->c65
2775.0000 I1 593012 7 2690.0000 p10 null 255 N p10->p25->p21->w98->c73->p22->w92->w114
2776.0000 I4 638104 5 2020.0000 c47 null 266 N c47->c51->p0->p16->w103->p6
2776.0000 I5 566179 7 1798.0000 w101 null 270 N w101->w85->p24->p13->p20->w115->t121->w90
2776.0000 I2 638690 4 2428.0000 p23 null 259 N p23->p18->p22->t120->c52
2776.0000 I2 638690 5 2428.0000 p23 null 259 N p23->p18->p22->w102->p30->p14
2777.0000 I2 638690 6 2429.0000 p23 null 259 N p23->p18->t121->w103->c50->w87->c47
2779.0000 I4 638104 4 2023.0000 c47 null 266 N c47->c51->p0->t123->w112
2781.0000 I5 566179 6 1803.0000 w101 null 269 N w101->c60->p12->t124->w107->p33->w109
2782.0000 I5 566179 5 1804.0000 w101 null 269 N w101->p31->p26->w108->t123->w112
2782.0000 I4 638104 5 2026.0000 c47 null 266 N c47->w114->w99->w81->c48->w114
2783.0000 I4 638104 4 2027.0000 c47 null 266 N c47->w114->w99->t121->w90
2784.0000 I2 638690 4 2436.0000 p23 null 259 N p23->p18->p0->p33->w94
2784.0000 I4 638104 4 2028.0000 c47 null 266 N c47->c51->p0->p16->c65
2785.0000 I3 739517 6 2149.0000 c50 null 264 N c50->p17->t125->w100->w94->w109->p23
2785.0000 I5 566179 6 1807.0000 w101 null 269 N w101->c60->p12->t124->w107->c48->w114
2786.0000 I4 638104 5 2030.0000 c47 null 266 N c47->c51->p0->p16->c42->c72
2787.0000 I5 566179 5 1809.0000 w101 null 269 N w101->w85->p24->p2->p16->c65
2787.0000 I4 638104 7 2031.0000 c47 null 266 N c47->c51->c68->w97->c58->p26->p33->w94
2788.0000 I9 678250 4 997.0000 c51 null 283 N c51->w103->c68->c60->c73
2789.0000 I5 566179 5 1811.0000 w101 null 269 N w101->w85->c53->w80->c42->c72
2789.0000 I8 513337 4 1217.0000 c79 null 279 N c79->c66->p25->t121->w90
2790.0000 I1 593012 6 2705.0000 p10 null 254 N p10->p34->w110->w113->p31->w115->w81
2792.0000 I5 566179 7 1814.0000 w101 null 269 N w101->c60->p12->t124->w107->t120->w97->p22
2792.0000 I15 661296 3 38.0000 c75 null 299 N c75->p31->w105->w88
2793.0000 I4 638104 4 2037.0000 c47 null 266 N c47->p6->c59->t120->p30
2793.0000 I9 678250 3 1002.0000 c51 null 283 N c51->w102->p15->w90
2793.0000 I4 638104 5 2037.0000 c47 null 266 N c47->c51->p0->p29->p3->w86
2795.0000 I8 513337 6 1223.0000 c79 null 279 N c79->w82->c62->p18->p1->p37->w109
